pdt_name,pdt_name_clean,group_id,pdt_name_processed,category
"“Cleanwrap” Paper Bowl & Cup, Reusable, Q-Marked <br> 종이 접시 / 공기, 재사용, 환경친화적","“cleanwrap” paper bowl & cup, reusable, q-marked <br> 종이 접시 공기, 재사용, 환경친화적",231,cleanwrap paper bowl cup reusable q marked br 종이 접시 공기 재사용 환경친화적,기타
Scienceware® Lab Companion™ cabinet vacuum desiccator,scienceware® lab companion™ cabinet vacuum desiccator,486,scienceware lab companion cabinet vacuum desiccator,기타
작업 리프트,작업 리프트,2249,작업 리프트,기타
물티슈 캡형,물티슈 캡형,2362,물티슈 캡형,기타
실험용 누름판,실험용 누름판,2327,실험용 누름판,기타
스타벅스 더블샷(200mlX36캔/동서식품),스타벅스 더블샷 200mlx36캔 동서식품,1800,스타벅스 더블샷 200mlx36캔 동서식품,기타
[퍼시스] MF102W,퍼시스 mf102w,1099,퍼시스 mf102w,기타
MP7227-DA,mp7227-da,360,mp7227 da,기타
"유한킴벌리 크리넥스 비말차단 에어마스크, KF-AD(대형,흰색)","유한킴벌리 크리넥스 비말차단 에어마스크, kf-ad 대형,흰색",1150,유한킴벌리 크리넥스 비말차단 에어마스크 kf ad 대형 흰색,기타
디자인마스킹(브아운콘/DM26-1510/15mmx10m),디자인마스킹 브아운콘 dm26-1510 15mmx10m,1571,디자인마스킹 브아운콘 dm26 1510 15mmx10m,기타
"(Daejung) Sodium phosphate dibasic anhydrous 99%, 500 g [CAS 7558-79-4]","daejung sodium phosphate dibasic anhydrous 99%, 500 g cas 7558-79-4",669,daejung sodium phosphate dibasic anhydrous 99 500 g cas 7558 79 4,기타
웨그테일 스퀴지 신형 하이플라이어 35cm 유리창닦이 12리터 세트 아파트유리창문청소도구,웨그테일 스퀴지 신형 하이플라이어 35cm 유리창닦이 12리터 세트 아파트유리창문청소도구,1905,웨그테일 스퀴지 신형 하이플라이어 35cm 유리창닦이 12리터 세트 아파트유리창문청소도구,기타
"애플 아이패드 미니 5세대(Wi-Fi, 64GB)","애플 아이패드 미니 5세대 wi-fi, 64gb",789,애플 아이패드 미니 5세대 wi fi 64gb,기타
"10L Liquid Nitrogen Tank Cryogenic Dewar Container Aluminum Semen Tank LN2 (6 X Canisters, 1 X carry bag 포함)","10l liquid nitrogen tank cryogenic dewar container aluminum semen tank ln2 6 x canisters, 1 x carry bag 포함",331,10l liquid nitrogen tank cryogenic dewar container aluminum semen tank ln2 6 x canisters 1 x carry bag 포함,기타
Wall Speaker,wall speaker,32,wall speaker,기타
"염수분무 부식시험용 철 시편(KS D 3512 SPCE 강판) (70 X 150 X 1) mm, Ra=(0.8±0.3) ㎛, KS D 9502","염수분무 부식시험용 철 시편 ks d 3512 spce 강판 70 x 150 x 1 mm, ra= 0.8±0.3 ㎛, ks d 9502",1590,염수분무 부식시험용 철 시편 ks d 3512 spce 강판 70 x 150 x 1 mm ra 0 8 0 3 ks d 9502,기타
PILOT frixion 지워지는 볼펜 프릭션 3색 슬림볼펜 0.5mm,pilot frixion 지워지는 볼펜 프릭션 3색 슬림볼펜 0.5mm,1433,pilot frixion 지워지는 볼펜 프릭션 3색 슬림볼펜 0 5mm,볼펜
니트릴일회용장갑(L/화이트/100입/마스케어),니트릴일회용장갑 l 화이트 100입 마스케어,2010,니트릴일회용장갑 l 화이트 100입 마스케어,기타
