pdt_name,pdt_name_clean,pdt_cas,브랜드명,규격/스펙
"Universal Clamp / Holder, Grip Capa. Φ13mm with Hinged Screws, 만능 클램프 / 홀더","universal clamp holder, grip capa. φ13mm with hinged screws, 만능 클램프 홀더",,,
"Gas Cylinder Support / Holder, with Flow Regulation, 가스 시린다 홀다","gas cylinder support holder, with flow regulation, 가스 시린다 홀다",,,
"PP Tubing Connector Combination Set of “T”-, “Y”-, “L”- & Straight-types with 68 pcs/Set Connectors, -10~+125/140℃, Autoclavable, 68 pcs/Set PP 튜빙 컨넥터 세트","pp tubing connector combination set of “t”-, “y”-, “l”- & straight-types with 68 pcs set connectors, -10~+125 140℃, autoclavable, 68 pcs set pp 튜빙 컨넥터 세트",,,
"PP Tamperproof Containers, Disposable and Reusable, with PP Lid, 300~5700㎖ Ideal for Collection/Transport/Storage, -10℃~+125/140℃, PP 기밀 유지 안전 용기","pp tamperproof containers, disposable and reusable, with pp lid, 300~5700㎖ ideal for collection transport storage, -10℃~+125 140℃, pp 기밀 유지 안전 용기",,,
"Hand Tally Counter, for Multi-use, Pocket-size with Records up to 9999 Digits, 탤리 카운터 / 계수계","hand tally counter, for multi-use, pocket-size with records up to 9999 digits, 탤리 카운터 계수계",,,
"Platinum Crucibles백금 도가니, 장형 ","platinum crucibles백금 도가니, 장형",,,
"Iron Crucible, 스틸 도가니","iron crucible, 스틸 도가니",,,
"MicrewtubeTM PP Printed 0.5~2㎖ Multiuse Microcentrifuge Tubes, with O-ring Seal Screwcap, Autoclavable with White Gradation, Steriled Package, 17,000 rcf, -190℃~+121℃, 스크류 캡 Micro Tubes, 냉동 Vial / 원심관 겸용","micrewtubetm pp printed 0.5~2㎖ multiuse microcentrifuge tubes, with o-ring seal screwcap, autoclavable with white gradation, steriled package, 17,000 rcf, -190℃~+121℃, 스크류 캡 micro tubes, 냉동 vial 원심관 겸용",,,
"Platinum Wire, 99.9%, 백금선","platinum wire, 99.9%, 백금선",,,
"Desiccator Plates, PP & Stainless-steel, Perforated, Fine- finished Φ100~Φ300mm Desiccators, PP or 스텐레스 중판","desiccator plates, pp & stainless-steel, perforated, fine- finished φ100~φ300mm desiccators, pp or 스텐레스 중판",,,
